Dataset,F1 Score,Precision,Recall,Anomalies
adasyn,0.658884630804604,0.5644319193624496,0.792616907635923,0.447296875
adasyn_1,0.1008508648864632,0.05936360761894399,0.3380577427821523,0.0074
adasyn_10,0.3201171896165387,0.24100552216663923,0.4814318885448916,0.08026470588235293
adasyn_10_s,0.27631551305570645,0.17549224093844365,0.6511532507739938,0.08026470588235293
adasyn_s,0.635349410236338,0.49531924928245624,0.8873139289365767,0.4472964285714286
all,0.027723202336093728,0.014899430889027818,0.26499118165784835,0.0013
all_s,0.008296914648243706,0.004174157483579992,0.6809413580246914,0.0013
anomaly,0.06611771621312143,0.03838428292636005,0.32119357948116173,0.0031000000000000003
anomaly_s,0.021050456828978055,0.010696480713337023,0.652721511371385,0.0031000000000000003
first,0.03529255518261243,0.01921133896163441,0.3858695652173913,0.0012
first_s,0.009125257099872238,0.0045901011215731,0.5892857142857143,0.0012
last,0.03173980896610783,0.016896955316729176,0.33152173913043476,0.0013
last_s,0.00883033161855206,0.004432050235213576,0.6366459627329193,0.0013
mean,0.01749907104242533,0.010251544525636704,0.1308411214953271,0.0031
mean_s,0.011315200514910329,0.005736396596186399,0.4180118946474087,0.0030999999999999995
median,0.02091091385253874,0.012133541071293283,0.08925233644859813,0.0031
median_s,0.008724184959715893,0.004452226601984582,0.22162883845126835,0.0031
pca,0.027906307050983972,0.015034095137483864,0.259645061728395,0.0013
pca_s,0.011831857455061217,0.005977205234117841,0.5883838383838383,0.0013
