pid,gpu,memory
2263887,0,579
2271749,0,581
2275715,0,579
2283911,0,621
2871580,0,621
641644,1,623
2268574,1,579
2284969,1,581
2865158,1,581
2869672,1,619
2269358,2,581
2277784,2,581
2864580,2,557
2866650,2,619
2265756,3,581
2269867,3,623
2272241,3,581
2276464,3,579
2278337,3,581
655665,4,623
2266393,4,581
2270601,4,579
2272919,4,621
2867185,4,579
2271145,5,581
2274644,5,621
2277014,5,623
2279600,5,581
2870768,5,577
2267053,6,579
2273491,6,581
2280526,6,621
2872801,6,619
2267998,7,581
2273886,7,581
2282699,7,641
2868056,7,557
