,msl_m,msl_m_10,msl_m_30,msl_m_50,msl_m_70,msl_m_90,smap_m,smap_m_10,smap_m_30,smap_m_50,smap_m_70,smap_m_90,swat_ori,swat_ori_10,swat_ori_30,swat_ori_50,swat_ori_70,swat_ori_90
"(5, 2, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 2, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 2, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 3, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 3, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 3, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 2, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 2, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 2, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 3, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 3, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 3, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 2, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 2, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 2, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 3, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 3, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 3, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
