,msl_m_all_10,msl_m_all_30,msl_m_all_50,msl_m_all_70,msl_m_all_90,smap_m_all_10,smap_m_all_30,smap_m_all_50,smap_m_all_70,smap_m_all_90,swat_ori_all_10,swat_ori_all_30,swat_ori_all_50,swat_ori_all_70,swat_ori_all_90
"(5, 2, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 2, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 2, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 3, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 3, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(5, 3, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 2, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 2, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 2, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 3, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 3, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(10, 3, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 2, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 2, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 2, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 3, 5)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 3, 10)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"(20, 3, 20)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
